DATA,DIA,TIPO,DESCRICAO,ESTADO,CODIGO_MUNICIPIO,ANO,MES,NOME_MES,FERIADO_NACIONAL
2021-07-04,4,MUNICIPAL,,SP,3511201.0,2021,7,July,Não
2021-06-21,21,MUNICIPAL,Feriado Municipal,SP,3511300.0,2021,6,June,Não
2021-12-08,8,MUNICIPAL,Feriado Municipal,SP,3511300.0,2021,12,December,Não
2021-10-01,1,MUNICIPAL,Padroeira da cidade,SP,3511409.0,2021,10,October,Não
2021-10-10,10,MUNICIPAL,,SP,3511409.0,2021,10,October,Não
2021-11-20,20,MUNICIPAL,,SP,3511409.0,2021,11,November,Não
2021-03-19,19,MUNICIPAL,Dia de São José,SP,3511508.0,2021,3,March,Não
2021-04-03,3,MUNICIPAL,,SP,3511508.0,2021,4,April,Não
2021-05-03,3,MUNICIPAL,,SP,3511607.0,2021,5,May,Não
2021-09-14,14,MUNICIPAL,,SP,3511607.0,2021,9,September,Não
2021-11-20,20,MUNICIPAL,"Lei Municipal No 1278, de 05.12.2008",SP,3511706.0,2021,11,November,Não
2021-12-08,8,MUNICIPAL,,SP,3511706.0,2021,12,December,Não
2021-11-20,20,MUNICIPAL,"Lei Municipal No 2920, de 2009",SP,3557204.0,2021,11,November,Não
2021-12-04,4,MUNICIPAL,,SP,3557204.0,2021,12,December,Não
2021-06-24,24,MUNICIPAL,,SP,3511904.0,2021,6,June,Não
2021-11-20,20,MUNICIPAL,,SP,3511904.0,2021,11,November,Não
2021-03-19,19,MUNICIPAL,Dia de São José,SP,3512001.0,2021,3,March,Não
2021-04-02,2,MUNICIPAL,Sexta-Feira Santa,SP,3512001.0,2021,4,April,Não
2021-06-03,3,MUNICIPAL,Corpus Christi,SP,3512001.0,2021,6,June,Não
2021-11-20,20,MUNICIPAL,Dia da Consciência Negra,SP,3512001.0,2021,11,November,Não
2021-12-08,8,MUNICIPAL,,SP,3512001.0,2021,12,December,Não
2021-02-18,18,MUNICIPAL,,SP,3512100.0,2021,2,February,Não
2021-07-16,16,MUNICIPAL,,SP,3512100.0,2021,7,July,Não
2021-11-20,20,MUNICIPAL,,SP,3512100.0,2021,11,November,Não
2021-04-09,9,MUNICIPAL,Feriado Municipal,SP,3512209.0,2021,4,April,Não
2021-06-13,13,MUNICIPAL,,SP,3512308.0,2021,6,June,Não
2021-08-06,6,MUNICIPAL,,SP,3512308.0,2021,8,August,Não
2021-12-04,4,MUNICIPAL,,SP,3512308.0,2021,12,December,Não
2021-06-13,13,MUNICIPAL,Dia de Santo Antônio,SP,3512407.0,2021,6,June,Não
2021-11-20,20,MUNICIPAL,"Lei Municipal N° 2021, de 27.03.2001",SP,3512407.0,2021,11,November,Não
2021-01-20,20,MUNICIPAL,,SP,3512506.0,2021,1,January,Não
2021-06-13,13,MUNICIPAL,,SP,3512506.0,2021,6,June,Não
2021-03-21,21,MUNICIPAL,,SP,3512605.0,2021,3,March,Não
2021-04-05,5,MUNICIPAL,,SP,3512605.0,2021,4,April,Não
2021-06-06,6,MUNICIPAL,,SP,3512605.0,2021,6,June,Não
2021-12-08,8,MUNICIPAL,,SP,3512605.0,2021,12,December,Não
2021-03-19,19,MUNICIPAL,Dia de São José,SP,3512704.0,2021,3,March,Não
2021-11-20,20,MUNICIPAL,,SP,3512704.0,2021,11,November,Não
2021-11-30,30,MUNICIPAL,Aniversário do Município,SP,3512803.0,2021,11,November,Não
2021-06-13,13,MUNICIPAL,,SP,3512902.0,2021,6,June,Não
2021-04-02,2,MUNICIPAL,Feriado Municipal,SP,3513009.0,2021,4,April,Não
2021-09-08,8,MUNICIPAL,Feriado Municipal,SP,3513009.0,2021,9,September,Não
2021-03-19,19,MUNICIPAL,Dia de São José,SP,3513108.0,2021,3,March,Não
2021-07-28,28,MUNICIPAL,conforme Lei Municipal nº 1.488 de 14/06/2005,SP,3513207.0,2021,7,July,Não
2021-08-15,15,MUNICIPAL,conforme Lei Municipal nº 1.488 de 14/06/2005,SP,3513207.0,2021,8,August,Não
2021-11-20,20,MUNICIPAL,,SP,3513207.0,2021,11,November,Não
2021-04-04,4,MUNICIPAL,,SP,3513306.0,2021,4,April,Não
2021-12-08,8,MUNICIPAL,,SP,3513306.0,2021,12,December,Não
2021-10-02,2,MUNICIPAL,Homenagem ao aniversário de emancipação políticoadministrativa da cidade,SP,3513405.0,2021,10,October,Não
2021-12-08,8,MUNICIPAL,"Dia de Nossa Senhora Imaculada Conceição, conforme Lei Municipal 0803/1967",SP,3513405.0,2021,12,December,Não
2021-04-09,9,MUNICIPAL,,SP,3513504.0,2021,4,April,Não
2021-08-15,15,MUNICIPAL,,SP,3513504.0,2021,8,August,Não
2021-03-19,19,MUNICIPAL,Dia de São José,SP,3513603.0,2021,3,March,Não
2021-04-20,20,MUNICIPAL,,SP,3513603.0,2021,4,April,Não
2021-12-08,8,MUNICIPAL,,SP,3513603.0,2021,12,December,Não
2021-09-08,8,MUNICIPAL,,SP,3513702.0,2021,9,September,Não
2021-04-02,2,MUNICIPAL,Sexta-feira Santa,SP,3513801.0,2021,4,April,Não
2021-06-03,3,MUNICIPAL,,SP,3513801.0,2021,6,June,Não
2021-11-20,20,MUNICIPAL,Lei Municipal No 2573/06,SP,3513801.0,2021,11,November,Não
2021-12-08,8,MUNICIPAL,"Aniversário da cidade e Dia da Imaculada Conceição, padroeira da cidade",SP,3513801.0,2021,12,December,Não
2021-12-08,8,MUNICIPAL,,SP,3513900.0,2021,12,December,Não
2021-12-30,30,MUNICIPAL,,SP,3513900.0,2021,12,December,Não
2021-04-02,2,MUNICIPAL,,SP,3514007.0,2021,4,April,Não
2021-02-04,4,MUNICIPAL,,SP,3514106.0,2021,2,February,Não
2021-01-06,6,MUNICIPAL,,SP,3514205.0,2021,1,January,Não
2021-06-13,13,MUNICIPAL,,SP,3514205.0,2021,6,June,Não
2021-05-19,19,MUNICIPAL,Feriado Municipal,SP,3514304.0,2021,5,May,Não
2021-06-24,24,MUNICIPAL,Feriado Municipal,SP,3514304.0,2021,6,June,Não
2021-12-08,8,MUNICIPAL,Feriado Municipal,SP,3514403.0,2021,12,December,Não
2021-12-11,11,MUNICIPAL,Feriado Municipal,SP,3514502.0,2021,12,December,Não
2021-12-13,13,MUNICIPAL,Feriado Municipal,SP,3514502.0,2021,12,December,Não
2021-03-21,21,MUNICIPAL,Feriado Municipal,SP,3514601.0,2021,3,March,Não
2021-11-20,20,MUNICIPAL,,SP,3514601.0,2021,11,November,Não
2021-12-08,8,MUNICIPAL,Feriado Municipal,SP,3514601.0,2021,12,December,Não
2021-11-30,30,MUNICIPAL,,SP,3514700.0,2021,11,November,Não
2021-03-10,10,MUNICIPAL,Aniversário da Cidade de Eldorado,SP,3514809.0,2021,3,March,Não
2021-04-02,2,MUNICIPAL,Sexta-Feira Santa,SP,3514809.0,2021,4,April,Não
2021-09-08,8,MUNICIPAL,Dia da Padroeira,SP,3514809.0,2021,9,September,Não
2021-11-20,20,MUNICIPAL,Dia da Consciência Negra,SP,3514809.0,2021,11,November,Não
2021-03-19,19,MUNICIPAL,Dia de São José,SP,3514908.0,2021,3,March,Não
2021-11-30,30,MUNICIPAL,,SP,3514908.0,2021,11,November,Não
2021-01-09,9,MUNICIPAL,,SP,3514957.0,2021,1,January,Não
2021-09-08,8,MUNICIPAL,,SP,3514957.0,2021,9,September,Não
2021-02-18,18,MUNICIPAL,Aniversário de Emancipação Política,SP,3515004.0,2021,2,February,Não
2021-04-02,2,MUNICIPAL,Sexta-Feira Santa,SP,3515004.0,2021,4,April,Não
2021-11-20,20,MUNICIPAL,"Lei Municipal no 2.285, de 09.11.2007",SP,3515004.0,2021,11,November,Não
2021-03-28,28,MUNICIPAL,Aniversário de Embu-Guaçu,SP,3515103.0,2021,3,March,Não
2021-04-02,2,MUNICIPAL,"Feriado Municipal, segundo lei Lei nº 1917/2004",SP,3515103.0,2021,4,April,Não
2021-06-03,3,MUNICIPAL,"Feriado Municipal, segundo lei Lei nº 1917/2004",SP,3515103.0,2021,6,June,Não
2021-10-01,1,MUNICIPAL,"Dia de Santa Terezinha, padroeira da cidade",SP,3515103.0,2021,10,October,Não
2021-05-19,19,MUNICIPAL,Aniversário da Cidade de Engenheiro Coelho,SP,3515152.0,2021,5,May,Não
2021-06-29,29,MUNICIPAL,"Dia de São Pedro, padroeiro do Município",SP,3515152.0,2021,6,June,Não
2021-11-20,20,MUNICIPAL,Dia da Consciência Negra,SP,3515152.0,2021,11,November,Não
2021-12-13,13,MUNICIPAL,,SP,3515186.0,2021,12,December,Não
2021-12-27,27,MUNICIPAL,,SP,3515186.0,2021,12,December,Não
2021-03-19,19,MUNICIPAL,Dia de São José,SP,3557303.0,2021,3,March,Não
2021-05-19,19,MUNICIPAL,Feriado Municipal,SP,3557303.0,2021,5,May,Não
2021-01-20,20,MUNICIPAL,,SP,3515301.0,2021,1,January,Não
2021-03-21,21,MUNICIPAL,,SP,3515301.0,2021,3,March,Não
2021-06-29,29,MUNICIPAL,,SP,3515301.0,2021,6,June,Não
2021-12-13,13,MUNICIPAL,,SP,3515301.0,2021,12,December,Não
2021-01-25,25,MUNICIPAL,,SP,3515202.0,2021,1,January,Não
2021-09-25,25,MUNICIPAL,,SP,3515202.0,2021,9,September,Não
2021-11-20,20,MUNICIPAL,,SP,3515202.0,2021,11,November,Não
2021-01-09,9,MUNICIPAL,,SP,3515350.0,2021,1,January,Não
2021-03-19,19,MUNICIPAL,Dia de São José,SP,3515350.0,2021,3,March,Não
2021-09-15,15,MUNICIPAL,,SP,3515350.0,2021,9,September,Não
2021-12-08,8,MUNICIPAL,,SP,3515350.0,2021,12,December,Não
2021-03-31,31,MUNICIPAL,,SP,3515400.0,2021,3,March,Não
2021-09-15,15,MUNICIPAL,,SP,3515400.0,2021,9,September,Não
2021-01-20,20,MUNICIPAL,,SP,3515608.0,2021,1,January,Não
2021-07-05,5,MUNICIPAL,,SP,3515608.0,2021,7,July,Não
2021-12-13,13,MUNICIPAL,,SP,3515608.0,2021,12,December,Não
2021-05-22,22,MUNICIPAL,,SP,3515509.0,2021,5,May,Não
2021-10-14,14,MUNICIPAL,Aniversário da cidade,SP,3515707.0,2021,10,October,Não
2021-11-20,20,MUNICIPAL,Lei Municipal nº 3165 de 16/05/2013,SP,3515707.0,2021,11,November,Não
2021-03-19,19,MUNICIPAL,Dia de São José,SP,3515806.0,2021,3,March,Não
2021-01-20,20,MUNICIPAL,,SP,3515905.0,2021,1,January,Não
2021-08-06,6,MUNICIPAL,,SP,3515905.0,2021,8,August,Não
2021-12-08,8,MUNICIPAL,,SP,3515905.0,2021,12,December,Não
2021-11-20,20,MUNICIPAL,Lei Municipal No 007/2007,SP,3516002.0,2021,11,November,Não
2021-01-06,6,MUNICIPAL,,SP,3516101.0,2021,1,January,Não
2021-03-19,19,MUNICIPAL,Dia de São José,SP,3516101.0,2021,3,March,Não
2021-12-30,30,MUNICIPAL,,SP,3516101.0,2021,12,December,Não
2021-11-20,20,MUNICIPAL,Lei Municipal No 6730/2006,SP,3516200.0,2021,11,November,Não
2021-11-28,28,MUNICIPAL,Aniversário da Cidade,SP,3516200.0,2021,11,November,Não
2021-12-08,8,MUNICIPAL,"Dia da Padroeira da Cidade, Nossa Senhora da Conceição",SP,3516200.0,2021,12,December,Não
2021-03-21,21,MUNICIPAL,Feriado Municipal,SP,3516309.0,2021,3,March,Não
2021-11-20,20,MUNICIPAL,Lei Municipal No 2.129 17.06.2005,SP,3516309.0,2021,11,November,Não
2021-11-20,20,MUNICIPAL,Lei Municipal No 535/2005,SP,3516408.0,2021,11,November,Não
2021-11-30,30,MUNICIPAL,Feriado Municipal,SP,3516408.0,2021,11,November,Não
2021-12-08,8,MUNICIPAL,Feriado Municipal,SP,3516408.0,2021,12,December,Não
2021-06-29,29,MUNICIPAL,,SP,3516507.0,2021,6,June,Não
2021-11-03,3,MUNICIPAL,,SP,3516507.0,2021,11,November,Não
2021-03-19,19,MUNICIPAL,Dia de São José,SP,3516606.0,2021,3,March,Não
2021-04-14,14,MUNICIPAL,,SP,3516606.0,2021,4,April,Não
2021-05-05,5,MUNICIPAL,Feriado Municipal,SP,3516705.0,2021,5,May,Não
2021-06-29,29,MUNICIPAL,Feriado Municipal,SP,3516705.0,2021,6,June,Não
2021-01-06,6,MUNICIPAL,,SP,3516804.0,2021,1,January,Não
2021-06-24,24,MUNICIPAL,,SP,3516804.0,2021,6,June,Não
2021-12-08,8,MUNICIPAL,,SP,3516804.0,2021,12,December,Não
2021-09-15,15,MUNICIPAL,Feriado Municipal,SP,3516903.0,2021,9,September,Não
2021-12-08,8,MUNICIPAL,Feriado Municipal,SP,3516903.0,2021,12,December,Não
2021-03-25,25,MUNICIPAL,,SP,3517000.0,2021,3,March,Não
2021-08-15,15,MUNICIPAL,,SP,3517000.0,2021,8,August,Não
2021-11-20,20,MUNICIPAL,Lei Municipal No 2.082 de 9 de março de 2009,SP,3517000.0,2021,11,November,Não
2021-06-24,24,MUNICIPAL,,SP,3517109.0,2021,6,June,Não
2021-08-15,15,MUNICIPAL,,SP,3517109.0,2021,8,August,Não
2021-12-30,30,MUNICIPAL,,SP,3517109.0,2021,12,December,Não
2021-06-24,24,MUNICIPAL,,SP,3517208.0,2021,6,June,Não
2021-12-13,13,MUNICIPAL,,SP,3517208.0,2021,12,December,Não
2021-11-08,8,MUNICIPAL,Feriado Municipal,SP,3517307.0,2021,11,November,Não
2021-11-20,20,MUNICIPAL,,SP,3517307.0,2021,11,November,Não
2021-01-20,20,MUNICIPAL,Feriado Municipal,SP,3517406.0,2021,1,January,Não
2021-05-18,18,MUNICIPAL,Feriado Municipal,SP,3517406.0,2021,5,May,Não
2021-11-20,20,MUNICIPAL,,SP,3517406.0,2021,11,November,Não
2021-01-20,20,MUNICIPAL,,SP,3517505.0,2021,1,January,Não
2021-11-30,30,MUNICIPAL,,SP,3517505.0,2021,11,November,Não
2021-03-19,19,MUNICIPAL,"Dia de São José, padroeiro da Cidade",SP,3517604.0,2021,3,March,Não
2021-05-02,2,MUNICIPAL,,SP,3517604.0,2021,5,May,Não
2021-11-20,20,MUNICIPAL,,SP,3517604.0,2021,11,November,Não
2021-12-24,24,MUNICIPAL,Elevação de Guapiara a Município - Lei Municipal 1.342/2002,SP,3517604.0,2021,12,December,Não
2021-01-20,20,MUNICIPAL,,SP,3517703.0,2021,1,January,Não
2021-09-15,15,MUNICIPAL,,SP,3517703.0,2021,9,September,Não
2021-11-20,20,MUNICIPAL,,SP,3517802.0,2021,11,November,Não
2021-01-20,20,MUNICIPAL,Feriado Municipal,SP,3517901.0,2021,1,January,Não
2021-08-06,6,MUNICIPAL,Feriado Municipal,SP,3517901.0,2021,8,August,Não
2021-11-20,20,MUNICIPAL,,SP,3517901.0,2021,11,November,Não
2021-11-30,30,MUNICIPAL,Feriado Municipal,SP,3517901.0,2021,11,November,Não
2021-06-13,13,MUNICIPAL,,SP,3518008.0,2021,6,June,Não
2021-08-18,18,MUNICIPAL,,SP,3518008.0,2021,8,August,Não
2021-11-20,20,MUNICIPAL,,SP,3518008.0,2021,11,November,Não
2021-11-20,20,MUNICIPAL,,SP,3518107.0,2021,11,November,Não
2021-11-30,30,MUNICIPAL,,SP,3518107.0,2021,11,November,Não
2021-06-29,29,MUNICIPAL,,SP,3518206.0,2021,6,June,Não
2021-11-20,20,MUNICIPAL,,SP,3518206.0,2021,11,November,Não
2021-12-08,8,MUNICIPAL,,SP,3518206.0,2021,12,December,Não
2021-09-19,19,MUNICIPAL,,SP,3518305.0,2021,9,September,Não
2021-04-02,2,MUNICIPAL,Sexta-Feira Santa,SP,3518404.0,2021,4,April,Não
2021-06-13,13,MUNICIPAL,"Aniversário da cidade e dia de Santo Antônio, padroeiro",SP,3518404.0,2021,6,June,Não
2021-10-25,25,MUNICIPAL,"Dia de Frei Galvão, Lei nº 4.025 de 14/04/08",SP,3518404.0,2021,10,October,Não
2021-03-16,16,MUNICIPAL,,SP,3518503.0,2021,3,March,Não
2021-06-24,24,MUNICIPAL,,SP,3518503.0,2021,6,June,Não
2021-09-21,21,MUNICIPAL,,SP,3518602.0,2021,9,September,Não
2021-11-20,20,MUNICIPAL,,SP,3518602.0,2021,11,November,Não
2021-01-15,15,MUNICIPAL,"Dia de Santo Amaro, padroeiro da cidade",SP,3518701.0,2021,1,January,Não
2021-04-02,2,MUNICIPAL,Sexta-feira santa,SP,3518701.0,2021,4,April,Não
2021-06-03,3,MUNICIPAL,Corpus Christi,SP,3518701.0,2021,6,June,Não
2021-11-02,2,MUNICIPAL,Dia de Finados,SP,3518701.0,2021,11,November,Não
2021-11-20,20,MUNICIPAL,"Lei Municipal No 3784, de 11.11.2009",SP,3518701.0,2021,11,November,Não
2021-11-20,20,MUNICIPAL,Lei Municipal No 5950/03,SP,3518800.0,2021,11,November,Não
2021-12-08,8,MUNICIPAL,conforme Lei Municipal nº 1.631 de 14/12/1970,SP,3518800.0,2021,12,December,Não
2021-03-28,28,MUNICIPAL,,SP,3518909.0,2021,3,March,Não
2021-06-29,29,MUNICIPAL,,SP,3518909.0,2021,6,June,Não
2021-08-15,15,MUNICIPAL,,SP,3518909.0,2021,8,August,Não
2021-07-26,26,MUNICIPAL,,SP,3519006.0,2021,7,July,Não
2021-11-30,30,MUNICIPAL,,SP,3519006.0,2021,11,November,Não
2021-04-02,2,MUNICIPAL,Sexta-Feira Santa,SP,3519055.0,2021,4,April,Não
2021-05-25,25,MUNICIPAL,"Divino Espírito Santo, padroeiro da cidade",SP,3519055.0,2021,5,May,Não
2021-06-03,3,MUNICIPAL,Corpus Christi,SP,3519055.0,2021,6,June,Não
2021-10-27,27,MUNICIPAL,Aniversário de Holambra,SP,3519055.0,2021,10,October,Não
2021-05-19,19,MUNICIPAL,Feriado Municipal,SP,3519071.0,2021,5,May,Não
2021-11-20,20,MUNICIPAL,Lei Municipal No 958 de 31.10.2001,SP,3519071.0,2021,11,November,Não
2021-04-15,15,MUNICIPAL,,SP,3519105.0,2021,4,April,Não
2021-06-24,24,MUNICIPAL,,SP,3519105.0,2021,6,June,Não
2021-06-21,21,MUNICIPAL,,SP,3519204.0,2021,6,June,Não
2021-06-29,29,MUNICIPAL,,SP,3519204.0,2021,6,June,Não
2021-01-09,9,MUNICIPAL,,SP,3519253.0,2021,1,January,Não
2021-11-20,20,MUNICIPAL,,SP,3519253.0,2021,11,November,Não
2021-12-13,13,MUNICIPAL,,SP,3519253.0,2021,12,December,Não
2021-06-24,24,MUNICIPAL,,SP,3519303.0,2021,6,June,Não
2021-08-15,15,MUNICIPAL,,SP,3519303.0,2021,8,August,Não
2021-01-20,20,MUNICIPAL,Feriado Municipal,SP,3519402.0,2021,1,January,Não
2021-12-12,12,MUNICIPAL,Feriado Municipal,SP,3519402.0,2021,12,December,Não
2021-02-11,11,MUNICIPAL,,SP,3519501.0,2021,2,February,Não
2021-11-20,20,MUNICIPAL,,SP,3519501.0,2021,11,November,Não
2021-11-30,30,MUNICIPAL,,SP,3519501.0,2021,11,November,Não
2021-07-04,4,MUNICIPAL,,SP,3519600.0,2021,7,July,Não
2021-08-06,6,MUNICIPAL,,SP,3519600.0,2021,8,August,Não
2021-03-24,24,MUNICIPAL,Feriado Municipal,SP,3519709.0,2021,3,March,Não
2021-09-15,15,MUNICIPAL,Feriado Municipal,SP,3519709.0,2021,9,September,Não
2021-08-15,15,MUNICIPAL,,SP,3519808.0,2021,8,August,Não
2021-11-20,20,MUNICIPAL,,SP,3519808.0,2021,11,November,Não
2021-12-30,30,MUNICIPAL,,SP,3519808.0,2021,12,December,Não
2021-06-24,24,MUNICIPAL,,SP,3519907.0,2021,6,June,Não
2021-11-30,30,MUNICIPAL,,SP,3519907.0,2021,11,November,Não
2021-02-11,11,MUNICIPAL,,SP,3520004.0,2021,2,February,Não
2021-04-02,2,MUNICIPAL,,SP,3520004.0,2021,4,April,Não
2021-07-26,26,MUNICIPAL,Padroeiro do município,SP,3520004.0,2021,7,July,Não
2021-10-19,19,MUNICIPAL,,SP,3520004.0,2021,10,October,Não
2021-05-22,22,MUNICIPAL,Feriado Municipal,SP,3520103.0,2021,5,May,Não
2021-08-15,15,MUNICIPAL,Feriado Municipal,SP,3520103.0,2021,8,August,Não
2021-12-05,5,MUNICIPAL,Feriado Municipal,SP,3520202.0,2021,12,December,Não
2021-01-06,6,MUNICIPAL,,SP,3520301.0,2021,1,January,Não
2021-08-05,5,MUNICIPAL,,SP,3520301.0,2021,8,August,Não
2021-08-06,6,MUNICIPAL,,SP,3520301.0,2021,8,August,Não
2021-12-03,3,MUNICIPAL,,SP,3520301.0,2021,12,December,Não
2021-04-02,2,MUNICIPAL,Sexta-feira da Paixão,SP,3520426.0,2021,4,April,Não
2021-06-03,3,MUNICIPAL,Corpus Christi,SP,3520426.0,2021,6,June,Não
2021-10-27,27,MUNICIPAL,Comemoração da Emancipação Política Administrativa do Município,SP,3520426.0,2021,10,October,Não
2021-12-08,8,MUNICIPAL,Padroeira do Município,SP,3520426.0,2021,12,December,Não
2021-10-04,4,MUNICIPAL,"Dia de São Francisco de Assis, conforme lei Nº 787, de 27 de Setembro de 2001",SP,3520442.0,2021,10,October,Não
2021-11-20,20,MUNICIPAL,"Dia da Consciência Negra, conforme lei Nº 1987, de 13 de Novembro de 2012",SP,3520442.0,2021,11,November,Não
2021-02-02,2,MUNICIPAL,,SP,3520400.0,2021,2,February,Não
2021-04-02,2,MUNICIPAL,Sexta-Feira Santa,SP,3520400.0,2021,4,April,Não
2021-06-03,3,MUNICIPAL,Corpus Christi,SP,3520400.0,2021,6,June,Não
2021-09-03,3,MUNICIPAL,,SP,3520400.0,2021,9,September,Não
2021-11-20,20,MUNICIPAL,"Lei Municipal No 451, de 2007",SP,3520400.0,2021,11,November,Não
2021-02-02,2,MUNICIPAL,Feriado Municipal,SP,3520509.0,2021,2,February,Não
2021-03-17,17,MUNICIPAL,,SP,3520608.0,2021,3,March,Não
2021-05-12,12,MUNICIPAL,,SP,3520707.0,2021,5,May,Não
2021-06-24,24,MUNICIPAL,,SP,3520707.0,2021,6,June,Não
2021-11-20,20,MUNICIPAL,,SP,3520707.0,2021,11,November,Não
2021-08-22,22,MUNICIPAL,,SP,3520806.0,2021,8,August,Não
2021-08-06,6,MUNICIPAL,,SP,3520905.0,2021,8,August,Não
2021-09-20,20,MUNICIPAL,,SP,3520905.0,2021,9,September,Não
2021-03-21,21,MUNICIPAL,Feriado Municipal,SP,3521002.0,2021,3,March,Não
2021-06-13,13,MUNICIPAL,Dia de Santo Antônio,SP,3521002.0,2021,6,June,Não
2021-03-21,21,MUNICIPAL,,SP,3521101.0,2021,3,March,Não
2021-11-20,20,MUNICIPAL,,SP,3521101.0,2021,11,November,Não
2021-12-08,8,MUNICIPAL,,SP,3521101.0,2021,12,December,Não
2021-01-12,12,MUNICIPAL,,SP,3521200.0,2021,1,January,Não
2021-07-26,26,MUNICIPAL,,SP,3521200.0,2021,7,July,Não
2021-12-31,31,MUNICIPAL,,SP,3521200.0,2021,12,December,Não
2021-03-26,26,MUNICIPAL,,SP,3521309.0,2021,3,March,Não
2021-07-26,26,MUNICIPAL,,SP,3521309.0,2021,7,July,Não
2021-05-03,3,MUNICIPAL,,SP,3521408.0,2021,5,May,Não
2021-11-20,20,MUNICIPAL,,SP,3521408.0,2021,11,November,Não
2021-07-16,16,MUNICIPAL,,SP,3521507.0,2021,7,July,Não
2021-11-01,1,MUNICIPAL,,SP,3521507.0,2021,11,November,Não
2021-11-30,30,MUNICIPAL,,SP,3521507.0,2021,11,November,Não
2021-01-03,3,MUNICIPAL,,SP,3521606.0,2021,1,January,Não
2021-05-06,6,MUNICIPAL,,SP,3521606.0,2021,5,May,Não
2021-11-20,20,MUNICIPAL,,SP,3521606.0,2021,11,November,Não
2021-04-25,25,MUNICIPAL,Aniversário da Cidade de Itabera,SP,3521705.0,2021,4,April,Não
